City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
57,Jamestown,US,2020-05-09 23:55:21,42.1,-79.24,33.8,74,90,14.99,light rain,0,0
58,Constitucion,CL,2020-05-09 23:55:26,-35.33,-72.42,55.51,91,19,0.83,few clouds,0,0
59,Tera,NE,2020-05-09 23:55:26,14.01,0.75,87.1,27,15,3.09,few clouds,0,0
60,Mataura,NZ,2020-05-09 23:55:26,-46.19,168.86,56.79,65,59,3.74,broken clouds,0,0
61,Asau,RO,2020-05-09 23:55:26,46.43,26.4,48.99,80,35,3.87,scattered clouds,0,0
62,Russkaya Polyana,UA,2020-05-09 23:55:26,49.42,31.92,45.86,74,76,7.96,broken clouds,0,0
63,Chota,PE,2020-05-09 23:55:26,-6.55,-78.65,56.89,87,78,4.09,broken clouds,0,0
64,Broome,US,2020-05-09 23:52:44,42.25,-75.83,35.01,86,90,9.17,light snow,0,0
65,Hambantota,LK,2020-05-09 23:55:26,6.12,81.12,80.62,85,100,4.94,overcast clouds,0,0
66,Thompson,CA,2020-05-09 23:55:27,55.74,-97.86,37.4,34,75,13.87,broken clouds,0,0
67,Albany,US,2020-05-09 23:53:39,42.6,-73.97,36.0,54,79,7.0,broken clouds,0,0
68,Carnarvon,AU,2020-05-09 23:55:27,-24.87,113.63,75.63,39,100,15.21,overcast clouds,0,0
69,Castro,BR,2020-05-09 23:55:27,-24.79,-50.01,51.82,88,0,3.4,clear sky,0,0
70,Vestmanna,FO,2020-05-09 23:55:27,62.16,-7.17,30.2,68,49,12.75,scattered clouds,0,0
71,Port Antonio,JM,2020-05-09 23:55:27,18.18,-76.46,86.0,70,20,24.16,few clouds,0,0
72,Poya,NC,2020-05-09 23:55:27,-21.35,165.15,77.4,60,6,2.68,clear sky,0,0
73,Longyearbyen,SJ,2020-05-09 23:55:27,78.22,15.64,17.6,57,20,11.41,few clouds,0,0
74,Wajima,JP,2020-05-09 23:55:27,37.4,136.9,60.8,93,75,2.24,light intensity shower rain,0,0
75,Mehamn,NO,2020-05-09 23:55:27,71.04,27.85,29.64,90,94,7.36,overcast clouds,0,0
76,Grand Gaube,MU,2020-05-09 23:55:27,-20.01,57.66,70.0,83,1,3.0,clear sky,0,0
77,Chuy,UY,2020-05-09 23:55:28,-33.7,-53.46,55.71,74,54,7.49,broken clouds,0,0
78,Vila,PT,2020-05-09 23:55:28,42.03,-8.16,55.99,100,40,3.36,scattered clouds,0,0
79,Meadow Lake,US,2020-05-09 23:55:28,34.8,-106.54,82.4,7,1,6.93,clear sky,0,0
