City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Kodiak,US,2020-05-07 15:44:39,57.79,-152.41,44.6,81,90,28.86
70,Geraldton,AU,2020-05-07 15:44:39,-28.77,114.6,59.0,82,75,6.02
71,Kishcha,RU,2020-05-07 15:44:39,42.18,47.58,47.46,87,100,4.18
72,Te Anau,NZ,2020-05-07 15:44:39,-45.42,167.72,51.44,88,100,4.38
73,Lorengau,PG,2020-05-07 15:44:40,-2.02,147.27,81.32,78,39,3.2
74,Mehamn,NO,2020-05-07 15:44:40,71.04,27.85,39.2,86,75,10.29
75,Bagdarin,RU,2020-05-07 15:44:40,54.43,113.6,36.77,74,61,3.71
76,Vaini,TO,2020-05-07 15:44:40,-21.2,-175.2,77.0,83,90,8.05
77,Giresun,TR,2020-05-07 15:44:40,40.5,38.5,41.09,88,91,6.38
78,Lata,PT,2020-05-07 15:44:41,40.16,-8.33,79.0,66,49,5.99
79,Butaritari,KI,2020-05-07 15:44:41,3.07,172.79,82.81,79,100,8.14
80,Touros,BR,2020-05-07 15:44:41,-5.2,-35.46,87.8,66,40,12.75
81,Saint-Georges,GD,2020-05-07 15:44:41,12.06,-61.75,86.0,70,20,23.04
82,Yellowknife,CA,2020-05-07 15:40:40,62.46,-114.35,41.0,69,20,8.05
83,Rawson,AR,2020-05-07 15:44:41,-43.3,-65.1,65.88,48,32,6.17
84,Quatre Cocos,MU,2020-05-07 15:44:42,-20.21,57.76,77.0,88,40,2.24
85,Yerbogachen,RU,2020-05-07 15:44:42,61.28,108.01,27.9,93,98,7.07
86,Kailua,US,2020-05-07 15:44:27,21.4,-157.74,78.8,65,90,14.99
87,Yar-Sale,RU,2020-05-07 15:44:42,66.83,70.83,37.65,99,100,12.59
88,Bredasdorp,ZA,2020-05-07 15:44:42,-34.53,20.04,62.6,72,100,4.7
89,Altotting,DE,2020-05-07 15:44:42,48.23,12.68,70.0,10,0,1.99
90,Beringovskiy,RU,2020-05-07 15:44:43,63.05,179.32,30.11,99,100,10.13
91,Nouadhibou,MR,2020-05-07 15:44:43,20.93,-17.03,75.2,60,0,19.46
92,Khatanga,RU,2020-05-07 15:44:43,71.97,102.5,5.63,93,43,11.21
93,Joshimath,IN,2020-05-07 15:44:43,30.57,79.57,47.64,51,56,4.21
94,Klaksvik,FO,2020-05-07 15:44:43,62.23,-6.59,48.2,70,97,16.11
95,Ribeira Grande,PT,2020-05-07 15:44:43,38.52,-28.7,66.2,72,40,12.75
96,Auki,SB,2020-05-07 15:44:44,-8.77,160.7,78.21,85,12,2.82
97,Mayo,US,2020-05-07 15:44:44,38.89,-76.51,61.0,50,1,11.41
98,Airai,TL,2020-05-07 15:44:44,-8.93,125.41,57.15,99,8,3.44
99,Dunedin,NZ,2020-05-07 15:43:56,-45.87,170.5,55.0,84,100,3.0
100,Chachapoyas,PE,2020-05-07 15:44:44,-6.23,-77.87,61.0,84,90,3.85
101,Cherskiy,RU,2020-05-07 15:44:45,68.75,161.3,26.04,92,99,3.6
102,Ulaangom,MN,2020-05-07 15:44:45,49.98,92.07,52.97,41,73,3.76
103,Benghazi,LY,2020-05-07 15:44:45,32.12,20.07,72.99,56,32,11.59
104,Madang,PG,2020-05-07 15:44:45,-5.22,145.8,76.64,91,100,3.56
105,Vuktyl,RU,2020-05-07 15:44:45,63.86,57.31,58.12,69,100,12.86
106,Saint George,US,2020-05-07 15:44:34,37.1,-113.58,68.0,22,1,10.29
107,Biritiba-Mirim,BR,2020-05-07 15:44:46,-23.57,-46.04,64.0,82,75,4.7
108,Tulum,MX,2020-05-07 15:44:46,20.22,-87.47,82.99,69,90,11.41
109,Ancud,CL,2020-05-07 15:44:46,-41.87,-73.82,59.0,100,100,3.36
110,Dubki,RU,2020-05-07 15:44:46,43.02,46.84,64.4,68,20,29.08
111,Husavik,IS,2020-05-07 15:44:47,66.04,-17.34,37.4,74,90,11.41
112,Souillac,MU,2020-05-07 15:44:47,-20.52,57.52,77.0,88,40,2.24
113,Lebu,CL,2020-05-07 15:44:47,-37.62,-73.65,61.84,64,100,10.36
114,Punta Alta,AR,2020-05-07 15:44:48,-38.88,-62.07,60.19,42,52,17.74
115,Inuvik,CA,2020-05-07 15:44:48,68.35,-133.72,19.4,92,75,10.29
116,Taoudenni,ML,2020-05-07 15:44:48,22.68,-3.98,111.65,8,95,10.89
117,Nagato,JP,2020-05-07 15:44:48,34.38,131.2,59.0,82,75,4.7
118,Sobolevo,RU,2020-05-07 15:44:49,54.43,31.9,44.91,90,100,10.87
119,Bengkulu,ID,2020-05-07 15:44:49,-3.8,102.27,79.39,86,100,4.29
120,Tuburan,PH,2020-05-07 15:44:49,6.64,122.27,82.4,83,75,2.24
121,Praia Da Vitoria,PT,2020-05-07 15:44:49,38.73,-27.07,68.0,77,75,10.47
122,Abu Dhabi,AE,2020-05-07 15:44:50,24.47,54.37,91.4,36,39,11.41
123,Luderitz,NA,2020-05-07 15:44:50,-26.65,15.16,74.53,32,0,10.22
124,Sangar,RU,2020-05-07 15:44:50,63.92,127.47,40.93,71,100,13.09
125,Prince Rupert,CA,2020-05-07 15:44:51,54.32,-130.32,42.8,70,1,1.83
126,Caetite,BR,2020-05-07 15:44:51,-14.07,-42.48,86.43,48,39,1.81
127,Hilo,US,2020-05-07 15:44:51,19.73,-155.09,71.6,78,90,2.39
128,Hobyo,SO,2020-05-07 15:44:51,5.35,48.53,85.5,70,29,11.77
